,Companies,Jobs,Locations,Easy_Apply,Rating,Summary
210,Expedia.com,Machine Learning Scientist II,"Seattle, WA",Not Easy Apply,3.9, Be able to debug and correct your data assumption through AB testing. You should have an advanced degree (PhD preferred) in machine learning / computer science…
211,Microsoft,"Forecast Analyst, Customer Service & Support","Redmond, WA",Not Easy Apply,4.2," Collect and generate requirements for Data Engineering to access new data sources, and for Data Science to generate new forecasting models to satisfy the needs…"
212,Providence Health & Services,Data Engineer II,"Seattle, WA",Not Easy Apply,3.6, Lead the development of FHIR and other APIs using cloud technologies and implementing data security standards around data exchange.
213,Adobe,Senior Data Scientist,"Seattle, WA",Not Easy Apply,4.3," Work with Adobe’s data ingestion, data platform and product teams to validate instrumentation and data flow. 5+ years of experience with a bachelor’s degree in…"
214,Cadence Preferred LLC,Senior Data Engineer,"Redmond, WA",Easy Apply,," Assist in designing, building, maintaining and improving CSI data platform, including Data Lake, SQL and non-SQL databases and data warehouses, data pipelines…"
215,"Amazon.com Services, Inc.",Data Engineer - WWOps Connections,"Seattle, WA",Not Easy Apply,3.6, You will collaborate closely with other engineers and scientists across the organization to create robust and scalable solutions to flow data from various…
216,Invitae,Data Engineer,"Seattle, WA",Easy Apply,3.6, Prior experience utilizing data warehousing or building out data warehouses. Our Data Infrastructure Team develops the data ingestion pipelines and data…
217,Outreach,"Front-End Software Engineer, Data Workflow Team","Seattle, WA",Not Easy Apply,, The Data Workflow team at Outreach owns the data and data workflows that drive the Outreach product itself. The core challenges in the space revolve around data…
218,Airbnb,"Data Science Manager, Algorithms","Seattle, WA",Easy Apply,4.1," Intuition for data science best practices, stemming from proven experience. We are seeking a Data Science Manager to work out of our growing Seattle office to…"
219,Microsoft,Research Intern - Information and Data Sciences,"Redmond, WA",Not Easy Apply,4.2, The Information and Data Sciences (IDEAS) group in Microsoft Research AI seeks exceptional interns in the broad fields of information and data sciences.
220,Big Fish Games,Senior Data Analyst,"Seattle, WA",Not Easy Apply,3.6," The Data Science team is looking for a talented Lead Data Analyst to extract insights from player data, build visualizations that tell a story, partner with the…"
221,Redfin,Data Science Engineer II (ML Modeling),"Seattle, WA",Not Easy Apply,3.3," As the Data Science Engineer for the Big Data & Analytics Team, your job is to integrate, sanitize and transform our massive store of market and user data and…"
222,Internap,Data Center Operations Engineer,"Seattle, WA",Not Easy Apply,2.9," Assists Data Center Manager and Data Center Site Manager on projects involving the physical installation of. Cabinets, cages, cables, shelving, cable management…"
223,Expedia.com,Sr Data Scientist,"Seattle, WA",Not Easy Apply,3.9," 7+ years industry experience working with live data (data cleaning, data visualization and modeling) and building machine learning models."
224,HCL America Inc,Tableau Data Engineer,"Redmond, WA",Easy Apply,," A) Good experience in data engineering skills – SQL , data warehousing , ETL and data modelling. Data Modeling: 1 year (Preferred)."
225,Expeditors,Data Engineer,"Seattle, WA",Not Easy Apply,3.6," Knowledge of data management fundamentals and data storage principles. Demonstrated strength in data modeling, ETL development, and data warehousingKnowledge of…"
226,Microsoft,Machine Learning Engineer,"Bellevue, WA",Not Easy Apply,4.2," 7+ years working in machine learning, data science and/or deep learning fields. Mining actionable insights for Connected Store employees from both observational…"
227,"Amazon.com Services, Inc.","Senior Data Scientist, IMDb TV","Seattle, WA",Not Easy Apply,3.6," Experience with data visualization and presentation, turning complex analysis into insight. Experience collaborating with software development teams, data…"
228,Facebook,Research Engineer - Data and Statistics,"Redmond, WA",Not Easy Apply,4.2," Experience in programming for data science applications in R, Python, Julia, etc. Partner with relevant data science and machine learning teams within Facebook…"
229,"Accolite, Inc.",Data Engineer – PL /SQL ETL,"Seattle, WA",Not Easy Apply,," Experience in data modeling, data mapping and data architecture. 5+ years of working in a data warehousing / big data environment."
230,Pacific Northwest National Laboratory,Data Scientist in Artificial Intelligence - Intermediate,"Seattle, WA",Not Easy Apply,4.1, Group: Data Sciences and Analytics. Job Category: Computation and Information Sciences. Data science at the Pacific Northwest National Laboratory (PNNL)…
231,Zillow Group,Machine Learning Engineer,"Seattle, WA",Not Easy Apply,3.8, Zillow is looking for a Senior Machine Learning Engineer to join a growing world-class data science and engineering team dedicated to the newly launched Zillow…
232,Microsoft,Principal Data Science Manager,"Redmond, WA",Not Easy Apply,4.2, 10+ years of engineering or data science experience. Our Azure CXP Data Science team is critical to this pursuit. Experience with large data environments.
233,Liberty Mutual Insurance,"Director II, Data Science, GRM Product Design & Modeling Pricing Sophistication","Seattle, WA",Not Easy Apply,3.6, Maintain a knowledge of the latest developments in data science and identify ideas for application to business problems.
234,Indeed,Business Intelligence Analyst,"Seattle, WA",Easy Apply,4.4," 3+ years of Industry experience in a report development, data science, business analytics, business intelligence or comparable data engineering role, including…"
235,Triplebyte,Machine Learning Engineer,"Seattle, WA",Easy Apply,," For any company building software, this is crucial for success. Fields your work will touch on*. We have a novel dataset of candidate profiles and interview…"
236,"Amazon.com Services, Inc.",Data Scientist - Fulfillment by Amazon,"Seattle, WA",Not Easy Apply,3.6," Bachelor’s in a quantitative field such as Machine Learning, Data Science, Statistics, Applied Mathematics, Physics, Computer Science, or Economics."
237,Oracle,Data Center Build Engineer,"Seattle, WA",Not Easy Apply,3.8, Manage the load configurations of a central data communication processor and make recommendations for purchase or upgrade of data networks.
238,Facebook,"Data Engineer, People Engineering","Seattle, WA",Not Easy Apply,4.2, Build data expertise and own data quality for allocated areas of ownership. 2+ years experience in the data warehouse space. Knowledge in Python or Java.
239,Convoy,"Data Scientist II - Analytics, Quality and Compliance","Seattle, WA",Not Easy Apply,3.9," Identify trends across quantitative and qualitative data. Minimum of 5+ years of industry experience at top-tier companies in Consulting, Business Intelligence,…"
240,Pacific Northwest National Laboratory,Data Scientist,"Richland, WA",Not Easy Apply,4.1," The Scientist will define and carry out the application of existing methodologies and original research in data science and mathematical statistics, including…"
241,Outreach,"Front-End Software Engineer, Data Workflow Team","Seattle, WA",Not Easy Apply,, The Data Workflow team at Outreach owns the data and data workflows that drive the Outreach product itself. The core challenges in the space revolve around data…
242,"Amazon.com Services, Inc.",Data Science Manager,"Seattle, WA",Not Easy Apply,3.6, We are now recruiting for an exceptional Data Science Manager for Worldwide Operations. 5+ years of experience working in data science in a consumer product…
243,Liberty Mutual Insurance,"Director II, Data Science, GRM Product Design & Modeling Pricing Sophistication","Seattle, WA",Not Easy Apply,3.6, Maintain a knowledge of the latest developments in data science and identify ideas for application to business problems.
244,Quantcast,Senior Data Scientist,"Bellevue, WA",Easy Apply,3.4," Expert at mentoring other team members in the use of data science tools such as R, Python, Julia,SQL, MapReduce, Hadoop, Hive and Big Data technologies."
245,Highspot,Lead Data Science Engineer,"Seattle, WA",Easy Apply,4.5, Highspot is seeking a lead data science engineer for our Data Science team. You have deep expertise in data science and machine learning.
246,Mixpanel,"Data Governance, Fullstack Engineer","Seattle, WA",Easy Apply,, The Data Governance team at Mixpanel makes this easy by providing context for the data you're collecting and ensuring there is integrity and security around the…
247,Indeed,Senior Data Scientist,"Seattle, WA",Easy Apply,4.4," Can deploy data science solutions: Java, Python, C++. Have full stack experience in data collection, aggregation, analysis, visualization, productionization,…"
248,Outreach,Data Science Manager - Natural Language Processing,"Seattle, WA",Not Easy Apply,," You have 3+ years experience in Data Science. As a manager of the NLP Data Science team, you will be on the ground floor, working directly with the VP of Data…"
249,Microsoft,Full Time Opportunities for PhD Students or Recent Graduates: Machine Learning,"Redmond, WA",Not Easy Apply,4.2," Familiarity or ability to quickly ramp up with machine learning, deep learning, data mining, and/or data science. Experience in Object Oriented programming."
250,Niantic,Security Data Analysis Engineer,"Seattle, WA",Easy Apply,, We're looking for a game security data analysis engineer to help improve Niantic's anti-cheat data analysis and fraud prevention capabilities as part of our…
251,Premise,Data Engineer,"Seattle, WA",Easy Apply,3.7," Proven track record of successful communication of data infrastructure, data models, and data solutions. Implement data pipelines for ETL and data modeling."
252,Altimeter Solutions,Data Engineer,"Richland, WA",Not Easy Apply,," Computer Science or equivalent degree. Prefer data centric development and engineering. Cloud (AWS, Azure, GCS) and/or Big Data Platform experience (Hadoop,…"
253,"Amazon.com Services, Inc.",Data Engineer I,"Seattle, WA",Not Easy Apply,3.6," As a data engineer, you will get the exciting opportunity to work on very large data sets in one of the world's largest and most complex data warehouse…"
254,Perkins Coie,Growth and Competition Analyst,"Seattle, WA",Not Easy Apply,3.9," A bachelor’s degree is required, with degrees in law, economics, statistics, data science, or business preferred. Research and report on legal market trends."
255,ConMet,Data Analyst (IoT Connected Products),"Vancouver, WA",Easy Apply,, Data Science work: 2 years (Required). BS or MS in Data Science or related field. Perform and interpret data studies and product experiments concerning new data…
256,Microsoft,Senior Data Scientist,"Redmond, WA",Not Easy Apply,4.2, Engineer features and tune models to extract signal from noisy data and labels. Experience in working with biological data a plus; willingness to learn a must!
257,Microsoft,Principal Data Scientist,"Redmond, WA",Not Easy Apply,4.2, Champion the use of data analysis and data Science practices across all aspects of our product and service portfolio and across our business engagements.
258,"Amazon.com Services, Inc.","Sr. Manager, Data Science","Seattle, WA",Not Easy Apply,3.6," Familiarity with various Data Science disciplines including descriptive analytics, optimization, probability, hypothesis testing, regression, forecasting and…"
259,"Amazon.com Services, Inc.","Data Engineer, International Seller Services - Business Intelligence & Strategy","Seattle, WA",Not Easy Apply,3.6," Experience building data models, creating reports, using metrics and data to backup business cases, planning, and decisions. In this role you will:"
260,"Campfire, LLC",Data Engineer,"Seattle, WA",Easy Apply,," Develop data processes for data modeling, mining, reporting and QA. Experience with DAX and MDX (eg: Ranking, date changing, data transformations, relating data…"
261,AuthorityLabs.com,Senior Data Engineer (Web Scraping),"Bellevue, WA",Easy Apply,, Extracting and ingesting data from websites using web crawling tools. Undergraduate degree in Computer Science or comparable knowledge of application…
262,WSP USA,Transportation Analyst/Data Scientist,"Seattle, WA",Easy Apply,4.0," Bachelor’s degree in computer science, informatics, geography, urban planning, or related fields. WSP is currently initiating a search for a Data Scientist for…"
263,DocuSign,Senior Datawarehouse Engineer – Enterprise Data Warehouse,"Seattle, WA",Not Easy Apply,3.7, Develop and own ETL Data Pipeline and Data Model solutions for integrating new data sets into the Snowflake Enterprise Data Warehouse. And that's a good thing.
264,ASSURANCE,Business Intelligence Analyst - Finance,"Bellevue, WA",Not Easy Apply,4.2," BS in Finance, Data, MIS, Mathematics, Economics, Statistics or similar quantitative/analytical fields. Analysis of data to provide key insights used to drive…"
265,ASSURANCE,Security Analyst,"Seattle, WA",Not Easy Apply,4.2," Experience and passion for data classification. From data handling to consumer privacy, you’ll be responsible for establishing our approach to security and…"
266,The Climate Corporation,Staff Data Scientist - Deep Learning,"Seattle, WA",Not Easy Apply,3.6," In order to take advantage of increasing amounts of agricultural and environmental data, we are hiring new data scientists to drive the research and development…"
267,Zulily,Software Engineer - Machine Learning Services,"Seattle, WA",Not Easy Apply,3.2," Zulily was launched in 2010 and is headquartered in Seattle with offices in Nevada, Ohio and Pennsylvania. Qurate Retail Group believes in a third way to shop -…"
268,Hash Technologies,Data Engineer - W2 Contract,"Seattle, WA",Easy Apply,," Data Engineering: 7 years (Required). Should be well versed in creating data pipelines using Python. Experience in Advance SQL, Python, ETL, Data Modelling,…"
269,Starbucks,"senior data engineer, Starbucks Technology - Seattle, WA","Seattle, WA",Not Easy Apply,4.0," This position is responsible for design, development, testing and support for data pipelines to enable continuous data processing for data exploration, data…"
270,The Climate Corporation,Data Engineer,"Seattle, WA",Not Easy Apply,3.6," BS in Biology, Agronomy, Computer Science, Data Science or 2+ years work experience in IT/Agriculture/Biotechnology. Innovate in all we do."
271,"Amazon.com Services, Inc.","Data Engineer, Amazon GO","Seattle, WA",Not Easy Apply,3.6," Demonstrated strength in data modeling, ETL development, and Data warehousing. Interface with other technology teams to extract, transform, and load data from a…"
272,MAQ Software,Software Data Operation Engineer,"Redmond, WA",Easy Apply,3.4," Title: Software Data Operations Engineer*. Bachelor’s or master’s degree in Computer Science, Information Systems, Electrical Engineering, Applied Computational…"
273,Unity Technologies,"Machine Learning Intern (ML-Computer Vision), AI@Unity","Bellevue, WA",Easy Apply,4.0," Proficiency in data structures, algorithms, and software design. Implement state of the art computer vision models trained on synthetic data to solve common…"
274,"PitchBook Data, Inc.","Data Engineer, Business Intelligence","Seattle, WA",Not Easy Apply,," Experience with Snowflake development and cloud data warehousing. Capable of investigating, familiarizing and mastering new data sets quickly."
275,Beyondsoft Consulting,BI Data Engineer,"Bellevue, WA",Not Easy Apply,3.4," Experience working with telemetry data, data in Cosmos or another big data environment is a plus. Collaborate with data and analytics experts to strive for…"
276,Convoy,Data Scientist - Finance,"Seattle, WA",Not Easy Apply,3.9," BS or MS in economics, statistics, computer science, operations research, engineering, a natural science or equivalent quantitative subject."
277,"Brooks Sports, Inc",Cloud Data Engineer,"Seattle, WA",Not Easy Apply,4.0," Maintain awareness of advancements, innovations and changes in technologies relating to data engineering, cloud data platforms, data models, enterprise…"
278,Avani Technology Solutions Inc,Big Data Engineer,"Renton, WA",Not Easy Apply,4.6," Client is looking for a Big Data, Data Engineer. Data Source - Epic (Clarity DB). Concerns around Incremental data load strategy. Visa status (Need Visa copy):"
279,Homesite Insurance,Data Engineer,"Seattle, WA",Not Easy Apply,3.1," We’re looking for a Data Engineer to help us transform our data systems and architecture to support greater variety, volume, and velocity of data and data…"
280,"Amazon.com Services, Inc.","Data Scientist, WW Operations Finance","Seattle, WA",Not Easy Apply,3.6," Degree in data science, mathematics, statistics, computer science, engineering, economics or related analytical field."
281,Nintendo of America Inc.,CONTRACT - Data Engineer,"Redmond, WA",Not Easy Apply,4.1," 2+ years supporting data warehousing and analytics projects, including using AWS technologies— Redshift, S3, EC2, etc.—and other big data technologies."
282,P2 Solutions Group,AWS Data Engineer- Redshift & Tableau,"Seattle, WA",Easy Apply,4.0, Our client is looking for an operational support team for a Redshift based data mart feeding data to Tableau reporting.
283,Qualtrics,Software Engineer - Data Platform,"Seattle, WA",Not Easy Apply,4.3," We expect all of our contributors to have a bachelor's degree in Computer Science or a related field, and to be capable of demonstrating expertise in…"
284,Inabia Solutions and Consulting,Program Manager/ Data Scientist,"Redmond, WA",Not Easy Apply,, Data science experience (familiarity with visualizing data is important but hands-on data science/machine learning experience is not necessary)Project…
285,NCSOFT,Senior Data Analyst,"Bellevue, WA",Easy Apply,2.6," BA or BS in statistics, business, analytics, data science, or related field – MS or PhD a plus. Demonstrated history of turning raw data into actionable…"
286,Liberty Mutual Insurance,"Director II, Data Science, GRM Product Design & Modeling Pricing Sophistication","Seattle, WA",Not Easy Apply,3.6, Maintain a knowledge of the latest developments in data science and identify ideas for application to business problems.
287,Seen by Indeed,Data Warehouse Engineer,"Seattle, WA",Not Easy Apply,,
288,Seen by Indeed,Data Engineer,"Seattle, WA",Easy Apply,,
289,Big Fish Games,Senior Data Analyst,"Seattle, WA",Not Easy Apply,3.6," The Data Science team is looking for a talented Lead Data Analyst to extract insights from player data, build visualizations that tell a story, partner with the…"
290,Indeed,Business Intelligence Analyst,"Seattle, WA",Easy Apply,4.4," 3+ years of Industry experience in a report development, data science, business analytics, business intelligence or comparable data engineering role, including…"
291,Gee Whiz,Business Intelligence Analyst,"Orondo, WA",Easy Apply,," 2+ years of relevant experience in a report development, data science, business analytics, business intelligence or comparable data engineering role, including…"
292,Tredence Inc.,Data Scientist / Data Analytics,"Seattle, WA",Easy Apply,," Data analytics: 3 years (Preferred). We are looking for Data Scientist in Seattle, WA. for our company (Tredence). Hope you are doing well.*."
293,red violet,Data Scientist,"Seattle, WA",Easy Apply,2.0, Develop ETL systems and data pipelines to interface new data assets with our proprietary distributed data processing platform.
294,Triplebyte,Machine Learning Engineer,"Seattle, WA",Easy Apply,," For any company building software, this is crucial for success. Fields your work will touch on*. We have a novel dataset of candidate profiles and interview…"
295,Starbucks,"Sr. Data Scientist, Insights & Analytics","Seattle, WA",Not Easy Apply,4.0,
296,"Amazon.com Services, Inc.","Data Scientist, Transportation Execution","Bellevue, WA",Not Easy Apply,3.6,
297,Outreach,Senior Data Scientist - Experimentation and Causal Inference,"Seattle, WA",Not Easy Apply,,
298,Gee Whiz,Business Intelligence Analyst,"Orondo, WA",Easy Apply,,
299,"Amazon.com Services, Inc.",Data Scientist-Leadership Development and Employee Experience,"Seattle, WA",Not Easy Apply,3.6,
300,"Amazon.com Services, Inc.","Data Engineer, Transportation Execution","Bellevue, WA",Not Easy Apply,3.6,
301,"Seattle Genetics, Inc.",Senior Director of Data Sciences,"Bothell, WA",Not Easy Apply,3.9,
302,Starbucks,"data scientist, Global Supply Chain, Advanced Analytics - Seattle, WA","Seattle, WA",Not Easy Apply,4.0,
303,Neal Analytics,Cosmos Big Data Engineer,"Redmond, WA",Not Easy Apply,3.0,
304,"Amazon.com Services, Inc.",Data Scientist - Fulfillment by Amazon,"Seattle, WA",Not Easy Apply,3.6,
305,"Amazon.com Services, Inc.","Sr. Applied Scientist - Personalization, Recommendation Systems, Data Science","Seattle, WA",Not Easy Apply,3.6,
306,Pacific Northwest National Laboratory,Data Engineer in Cyber and Machine Learning â€“ Early Career,"Richland, WA",Not Easy Apply,4.1,
307,Convoy,Senior Data Scientist - Shipment Acquisition & Growth,"Seattle, WA",Not Easy Apply,3.9,
308,Facebook,"Data Scientist, Analytics - Ads Manager","Seattle, WA",Not Easy Apply,4.2,
309,"Amazon.com Services, Inc.",Sr. Data Scientist - Demand Forecasting,"Seattle, WA",Not Easy Apply,3.6,
310,"Amazon.com Services, Inc.","Software Development Engineer, Personalization & Discovery, Data Science, Machine Learning","Seattle, WA",Not Easy Apply,3.6,
311,"Amazon.com Services, Inc.","Data Engineer, Prime Video","Seattle, WA",Not Easy Apply,3.6,
312,Logic20/20,CORE - Data Scientist,"Seattle, WA",Not Easy Apply,3.5,
313,PACCAR,Data Engineer,"Bellevue, WA",Not Easy Apply,3.6,
314,DocuSign,Data Warehouse Engineer – Enterprise Data Warehouse,"Seattle, WA",Not Easy Apply,3.7,
315,Woot Services LLC,"Data Engineer, Woot!","Seattle, WA",Not Easy Apply,3.6,
316,Redapt,Azure Data Engineer,"Woodinville, WA",Easy Apply,3.1,
317,PEMCO,Data Engineer,"Seattle, WA",Not Easy Apply,4.1,
318,DocuSign,Data Engineer – Enterprise Data Warehouse,"Seattle, WA",Not Easy Apply,3.7,
319,ASSURANCE,Machine Learning Engineer,"Bellevue, WA",Not Easy Apply,4.2,
320,"Ekata, Inc.","Software Engineer, Data Services","Seattle, WA",Not Easy Apply,5.0,
321,Nintendo of America Inc.,CONTRACT - Data Engineer (NTD),"Redmond, WA",Not Easy Apply,4.1,
322,Wicket Labs,Machine Learning Engineer,"Seattle, WA",Easy Apply,,
323,The Climate Corporation,Data Engineer,"Seattle, WA",Not Easy Apply,3.6,
324,Tableau,"Staff Software Engineer, Data Engineering","Seattle, WA",Not Easy Apply,3.8,
325,Zulily,"Manager Software Engineering, Data & Machine Learning","Seattle, WA",Not Easy Apply,3.2,
326,Amsted Industries,DATA ANALYST (IOT CONNECTED PRODUCTS),"Vancouver, WA",Not Easy Apply,2.5,
327,"Amazon.com Services, Inc.",Big Data Engineer,"Seattle, WA",Not Easy Apply,3.6,
328,"Brooks Sports, Inc",Cloud Data Engineer,"Seattle, WA",Not Easy Apply,4.0,
329,Foursquare,Senior Data Scientist,"Seattle, WA",Easy Apply,4.5,
330,TimeXtender,Pre-Sales Data Engineer,"Bellevue, WA",Easy Apply,3.3,
331,Beyondsoft Consulting,BI Data Engineer,"Bellevue, WA",Not Easy Apply,3.4,
332,Outreach,Senior Data Scientist - NLP,"Seattle, WA",Not Easy Apply,,
333,General Assembly,Part-time Data Science Instructor,"Seattle, WA",Easy Apply,4.3,
334,Nordstrom,Engineer 2 - Machine Learning Platform,"Seattle, WA",Not Easy Apply,3.9,
335,Facebook,"Data Engineer, Analytics - Seattle","Seattle, WA",Not Easy Apply,4.2,
336,ASSURANCE,Security Analyst,"Seattle, WA",Not Easy Apply,4.2,
337,Outreach,"Full-Stack Software Engineer (Backend Focused), Data Workflow Team","Seattle, WA",Not Easy Apply,,
338,Zulily,"Principal Engineer, Data and Machine Learning","Seattle, WA",Not Easy Apply,3.2,
339,"Amazon.com Services, Inc.",Data Engineer- ACES,"Seattle, WA",Not Easy Apply,3.6,
340,Highspot,Lead Data Science Engineer,"Seattle, WA",Easy Apply,4.5,
341,Indigo Slate,Data Engineer (Tel-Co),"Bellevue, WA",Easy Apply,3.1,
342,Microsoft,Sr. Data & Applied Scientist Manager,"Redmond, WA",Not Easy Apply,4.2,
343,"Amazon.com Services, Inc.","Data scientist, Amazon Payment Products","Seattle, WA",Not Easy Apply,3.6,
344,"Amazon.com Services, Inc.","Data Engineer, AWS Finance","Seattle, WA",Not Easy Apply,3.6,
345,Gee Whiz,Business Intelligence Analyst,"Orondo, WA",Easy Apply,,
346,Indeed,Business Intelligence Analyst,"Seattle, WA",Easy Apply,4.4,
347,Tredence Inc.,Data Scientist / Data Analytics,"Seattle, WA",Easy Apply,,
348,Big Fish Games,Senior Data Analyst,"Seattle, WA",Not Easy Apply,3.6,
349,Seen by Indeed,Data Warehouse Engineer,"Seattle, WA",Not Easy Apply,,
350,Liberty Mutual Insurance,"Director II, Data Science, GRM Product Design & Modeling Pricing Sophistication","Seattle, WA",Not Easy Apply,3.6,
351,Seen by Indeed,Data Engineer,"Seattle, WA",Easy Apply,,
352,red violet,Data Scientist,"Seattle, WA",Easy Apply,2.0,
353,Triplebyte,Machine Learning Engineer,"Seattle, WA",Easy Apply,,
354,"Amazon.com Services, Inc.",GIS Analyst / Developer,"Bellevue, WA",Not Easy Apply,3.6," You will be working with ArcGIS, R, Python and Tableau to build GIS applications that enable self-service reporting, analytics and data science solutions."
355,University of Washington,SENIOR DATA ENGINEER,"Seattle, WA",Not Easy Apply,4.1," Python and R data science libraries (pandas, numpy, tidyverse, etc.). This infrastructure will include data architecture for collecting, storing, retrieving…"
356,"Amazon.com Services, Inc.",Machine Learning Engineer - Applied Science,"Seattle, WA",Not Easy Apply,3.6," Bachelor’s Degree in Computer Science, Data Science, Statistics, or related field. Graduate Degree in Computer Science/Engineering, Data Science, Statistics or…"
357,Outreach,Machine Learning Engineer,"Seattle, WA",Not Easy Apply,, Key goal of the Data Science team is to transform how sales reps operate by enabling personalized guided selling. You have substantial coding experience.
358,PwC,Sr. Data Scientist (PwC Labs),"Seattle, WA",Not Easy Apply,4.0, Our team focuses on unleashing data in products and mechanisms that make data insights accessible to all levels of users.
359,"Amazon.com Services, Inc.","Software Development Engineer, Personalization & Discovery, Data Science, Machine Learning","Seattle, WA",Not Easy Apply,3.6," Bachelor’s Degree in Computer Science or related field. Strong CS fundamentals in object-oriented design, data structures and algorithms."
360,Samsung Electronics,Sr. Big Data Engineer,"Bellevue, WA",Not Easy Apply,4.0," Production support, job scheduling/monitoring, ETL data quality, data freshness reporting. Loading from disparate data sets. by leveraging various big data…"
361,TCS World Travel,Data Engineer,"Seattle, WA",Easy Apply,," Degree or equivalent in computer science, data science or other related field. Responsible for establishing and maintaining Data warehouses, Data Lakes, Data…"
362,Sinclair Broadcast Group,Senior Enterprise Data Scientist,"Seattle, WA",Easy Apply,3.0," You are a thought leader who gets directly involved across related disciplines including: Data Science, User Experience Research, Data Visualization, Business…"
363,TimeXtender,Pre-Sales Data Engineer,"Bellevue, WA",Easy Apply,3.3, 1-3 years data engineering (data modelling/data warehouse) experience. We are currently looking for a Pre-Sales Data Engineer to work closely with the US…
364,"Amazon.com Services, Inc.","Sr. Applied Scientist - Personalization, Recommendation Systems, Data Science","Seattle, WA",Not Easy Apply,3.6," Strong communication and data presentation skills. MS in Engineering, Computer Science, Machine Learning, Statistics or a related quantitative field."
365,"Woot, Inc.","Data Engineer II (Woot LLC, Seattle, WA)","Seattle, WA",Not Easy Apply,2.5," Strong experience with ETL development, data modeling, data warehousing, MySQL, and databases in a business environment with large-scale, complex datasets."
366,Expedia Group,Senior Business Analyst,"Bellevue, WA",Not Easy Apply,3.9, Comfortable with mining data and working with large data sets. Apply expertise in quantitative analysis and data mining; presentation of data with a focus on…
367,Apple,Human Computer Interaction + Machine Learning Intern (Pittsburgh & Seattle),"Seattle, WA",Not Easy Apply,4.2," Enrolled in an MS or PhD program in computer science, HCI, machine learning, or relevant engineering degree. Imagine what you could do here."
368,Infoblox,Senior Threat Intelligence Analyst,"Tacoma, WA",Not Easy Apply,3.6," Leverage and support threat-related data science research and development. Collect, analyze and exploit data from various sources. Must be a US Citizen."
369,Logic20/20,CORE - Data Engineer,"Seattle, WA",Not Easy Apply,3.5," Extracts data from various databases; perform exploratory data analysis, cleanses, massages, and aggregates data. Big data processing techniques, preferred."
370,"Amazon.com Services, Inc.","Data Scientist, Systems Intelligence","Seattle, WA",Not Easy Apply,3.6," Demonstrated strength in data modeling, ETL development, and data warehousing. While business intelligence tends to be structured, data science leans more…"
371,Providence Health & Services,Senior Clinical Data Engineer PSJH,"Renton, WA",Not Easy Apply,3.6," Data Architecture: Designs advanced data sources, views and summaries and creates functional data architecture. Ability to interpret complex statistical data."
372,Milliman,Healthcare Analyst,"Seattle, WA",Not Easy Apply,3.6, Data visualization skills and effective storytelling with data; Familiarity with healthcare claims data and data analytic platforms; What We Are Looking For.
373,Grab Taxi,"Senior Software Engineer, Backend (Streaming Data)","Seattle, WA",Not Easy Apply,3.9," Bachelor of Science in Computer Science, or equivalent. The Streaming Data team, owns the platform that distributes massive amounts of real-time streaming data…"
374,Kaiser Permanente,Principal Data Warehouse Engineer (Informatica Required),"Renton, WA",Not Easy Apply,4.2," Experience designing Data Management processes and standards for Metadata Management, Data Architecture, Data Quality, and Data Security."
375,Nintendo of America Inc.,CONTRACT - Data Engineer (NTD),"Redmond, WA",Not Easy Apply,4.1," Experience with ETL data workflows. Experience with real-time data processing. Architect, prototype, and productize big data processing pipelines for analytics…"
376,Apple,EPM - Machine Learning Platform,"Seattle, WA",Not Easy Apply,4.2," Imagine what you could do here. We are looking for creative, customer-focused and technical program managers who are passionate about the intersection of user…"
377,"Amazon.com Services, Inc.","Data Engineer, Amazon Alexa","Seattle, WA",Not Easy Apply,3.6," Experience in data modeling, ETL development, and data warehousing. Experience building/operating highly available, distributed systems of data extraction,…"
378,Uber,Senior Software Engineer - Data 180 (Seattle),"Seattle, WA",Not Easy Apply,3.8," Experience with large-scale data warehousing architectures, data modeling, and data analysis. Work with engineers of multiple disciplines (Data Science, Mobile,…"
379,Snapchat,"Machine Learning Engineer, Perception","Seattle, WA",Not Easy Apply,3.4, Bachelor’s degree in a technical field such as computer science or equivalent. Masters/PhD in a technical field such as computer science or equivalent industry…
380,"Amazon.com Services, Inc.","Data Engineer, PerfectMile","Seattle, WA",Not Easy Apply,3.6," Experience with large scale data processing, data structure optimization and scalability of algorithms a plus. Hive, Spark, Hadoop, SQL on Big Data, Redshift."
381,Liberty Mutual Insurance,Senior Data Engineer,"Seattle, WA",Not Easy Apply,3.6," Design and develop programs and tools to support ingestion, curation and provisioning of complex enterprise data to achieve analytics, reporting, and data…"
382,ASSURANCE,Machine Learning Engineer,"Bellevue, WA",Not Easy Apply,4.2," Our team uses a variety of data mining and analysis methods, uses a variety of data tools, builds and implements models, develops algorithms, and creates…"
383,HBO Max,"Senior Staff Software Engineer, Data Pipeline","Seattle, WA",Not Easy Apply,, You will work as part of a cross functional team of software developers and data engineers to produce high quality data that truthfully represents the online…
384,Microsoft,Sr. Data & Applied Scientist Manager,"Redmond, WA",Not Easy Apply,4.2," Experience with big data technologies such as Azure Data Lake, HD Insight, Spark, Hive, etc. Work collaboratively with data engineering teams as required to…"
385,OfferUp,"Staff Data Scientist, Manager","Bellevue, WA",Easy Apply,2.8, 8+ years of demonstrated experience with machine learning or data science. This role reports directly to the Director of Data Science and Engineering.
