,Job_Title,Company,Location,Number_of_Applicants,Description
311,Data Engineer,Amazon,"Seattle, WA, US",Be among the first 25 applicants,"DescriptionAmazon Web Service Data Center Supply Chain engineering team needs a Data Engineer to help automates data extraction, big data storage and data analysis of master data and inventory related to power, space and networking aspects of AWS data centers. Data extraction includes ingesting and modelling data from sources like power topology of electrical distribution systems, AutoCAD design layout's, 3-D models of data center's, network connectivity, design models of racks, supply chain data and other data sources. Data storage and analysis needs to be done at AWS scale.The Data Center Supply Chain engineering team helps forecast, plan, order, provision, account and monitor various aspects of AWS' data center infrastructure. We are in very early stages of re-architecting legacy monolith applications to an integrated cloud based supply chain management system, being built from scratch using AWS serverless microservices architecture. This is a high visibility role with the opportunity to positively impact our most-critical systems and their customers. You will have the opportunity to leverage Amazon Web Services and a wide variety of technologies and frameworks. We're building services using one or more general purpose programming languages. You will be part of the team that builds, architects, design and implements highly scalable distributed systems that provide availability, scalability and latency guarantees.To succeed in this role, you must be passionate about problem solving, delivering high-quality engineering designs, code and working with various sets of stakeholders (scientists, engineers, operations teams, etc). You must be creative in solving hard problems in the Infrastructure space and unafraid to think out-of-the-box.Amazon Web Services (AWS) is a dynamic, growing business unit within Amazon.com. Since early 2006, Amazon Web Services has provided companies of all sizes with an infrastructure platform in the cloud. Using AWS, companies can requisition compute power, storage, and other services – gaining access to a global computing infrastructure that is the backbone of Amazon.com’s multi-billion dollar retail business. The team at AWS is committed to providing developers and their companies with tools and services to be successful.Basic Qualifications 3 + years experience using big data technologies and tools (S3, EMR, Redshift, Hadoop, Hive, Hbase, Spark, Etc), reporting tools (Tableau, Quicksight, other) and scripting (SQL, Python, Etc.) Experience in data modeling, ETL development, and data warehousing. Advanced SQL working with large data sets. Data management fundamentals and data storage principles Meets/exceeds Amazon’s functional/technical depth and complexity for this role Meets/exceeds Amazon’s leadership principles requirements for this rolePreferred Qualifications Graduate Degree in Computer Science, Engineering, Mathematics or related technical / analytical field. Coding proficiency in at least one modern programming language (Python, Ruby, Java, etc) Industry experience as a Data Engineer, Business Intelligence Engineer, Data Scientist, or related field with experience manipulating, processing, and extracting value from large datasets. Experience building data products incrementally and integrating and managing datasets from multiple sources. Meets/exceeds Amazon’s leadership principles requirements for this role Meets/exceeds Amazon’s functional/technical depth and complexity for this roleAmazon is an Equal Opportunity Employer – Minority / Women / Disability / Veteran / Gender Identity / Sexual Orientation / AgeCompany - Amazon.com Services, Inc.Job ID: A932434"
312,Data Scientist,Amazon,"Bellevue, WA, US",38 applicants,"DescriptionAmazon aims to exceed the expectations of our customers by ensuring that their orders, no matter how large or small, are delivered as quickly, accurately, and cost effectively as possible. To meet this goal, Amazon has invested in Amazon Logistics, a world class last mile operation. We are looking for a dynamic, resourceful, and organized Data Scientist within Amazon Logistics’ Amazon Flex organization to develop the right data-driven solutions to support the most critical components of this rapidly scaling operation.As part of the Last Mile Science & Technology organization, you’ll partner closely with Science, Product and Program teams to design of new and innovative solutions to organizational and business problems, using statistical best practices to justify design decisions using data. You will be expected to be a subject matter expert in quantitative analysis and to communicate highly complex findings to multiple audiences. You may come from one of many different types of quantitative backgrounds, but you must be comfortable with multiple modeling techniques such as linear and logistic regression, supervised and unsupervised clustering and segmentation, and forecasting. You will be able to acquire new techniques with practice, and be willing to show flexibility in finding the right technique to match the research problem.In addition to designing meaningful research questions and analyzing the resulting data, you must be able to see a full loop vision that goes beyond experimentation to conceptualizing design solutions, collaborating closely with multiple teams to ensure the relevance and impact of your work to business stakeholders. You will be responsible for developing new predictive and optimization models, as well as algorithms for key applications and discovering new ways to solve organizational problems. Successful candidates will have a deep knowledge of quantitative modelling in at least one area (ML, optimization, multivariate statistics), the ability to build and refine prototype models that can be implemented in production, the communication skills necessary to explain complex technical approaches to a variety of stakeholders and customers, and the excitement to take iterative approaches to tackle big, long-term problems.Key Responsibilities Conceptualize and lead global research initiatives Guide the technical approach for the design and implementation of successful models and algorithms in support of expert cross-functional teams delivering on demanding projects. Functionally decompose complex problems into simple, straight-forward solutions. Share deep knowledge in statistics, machine learning, multivariate modeling, or optimization research applicable to our problem space.Basic Qualifications Experienced in handling large data sets using SQL and databases in a business environment Outstanding written and verbal communication skills Proficiency with data analysis and modeling software (R, Spark, etc) Proficient with using scripting language such as Python and data manipulation/analysis libraries such as Scikit-learn and Pandas for analyzing and modeling data. 2+ years of applying algorithm design/multivariate statistics/machine learning to solving real-world problems MS in a quantitative research discipline (e.g., Artificial Intelligence, Computer Science, Machine Learning, Statistics, Applied Math, Operations Research)Preferred Qualifications Ability to work independently and as part of a diverse team Excellent interpersonal skills and a never-give-up attitude Proven record of innovation and strategic impact across teams 5+ years handling big dataCompany - Amazon.com Services, Inc.Job ID: A864729"
313,Data Scientist,Amazon,"Seattle, WA, US",Be among the first 25 applicants,"DescriptionDo you want to join an innovative team of scientists who use machine learning, NLP and statistical techniques to provide the best customer experience on the earth? Do you want to change the way that people work with customer service? Our team wants to lead the technical innovations in these spaces and set the bar for every other company that exists. We love data, and we have lots of it. We're looking for data scientist to own end-to-end business problems and metrics which would have a direct impact on the bottom line of our business while improving customer experience.If you see how big data and cutting-edge technology can be used to improve customer experience, if you love to innovate, if you love to discover knowledge from big structured and unstructured data and if you deliver results, then we want you to be in our team.Major responsibilities Analyze and extract relevant information from large amounts of both structured and unstructured data to help automate and optimize key processes Design structured, multi-source data solutions to deliver the dashboards and reports that make data actionable Drive the collection of new data and the refinement of existing data sources to continually improve data quality Support data analysts and product managers by turning business requirements into functional specifications and then executing delivery Lead the technical lifecycle of data presentation from data sourcing to transforming into user-facing metrics Establish scalable, efficient, automated processes for large scale data analyses, model development, model validation and model implementationAmazon.com is an Equal Opportunity Employer – Minority / Women / Disability / Veteran / Gender Identity / Sexual Orientation / Age.Basic Qualifications Master’s Degree in Computer Science, Systems Analysis, or related field 3+ years’ experience in data modeling, ETL development, and Data Warehousing 3+ years’ experience with BI/DW/ETL projects. Strong background in data relationships, modeling, and mining Technical guru; SQL expert Strong communication and data presentation skills Strong problem solving ability Experience working with large-scale data warehousing and analytics projects, including using AWS technologies – Redshift, S3, EC2, Data-pipeline and other big data technologies.Preferred Qualifications Distributed programming experience is highly recommended 2+ years of industry experience in predictive modeling and analysis Technically deep and business savvy enough to interface with all levels and disciplines within the organization.Amazon.com is an Equal Opportunity Employer – Minority / Women / Disability / Veteran / Gender Identity / Sexual Orientation / Age.Company - Amazon.com Services, Inc.Job ID: A821249"
314,Data Scientist,Amazon,"Seattle, WA, US",80 applicants,"DescriptionWhere will Amazon's growth come from in the next year? What about over the next five? Which product lines are poised to quintuple in size? Are we investing enough in our infrastructure, or too much? How do our customers react to changes in prices, product selection, or delivery times? These are among the most important questions at Amazon today. The Forecasting team in the Supply Chain Optimization Technologies (SCOT) organization is dedicated to answering these questions using statistical methods. We develop cutting edge data pipelines, build accurate predictive models, and deploy automated software solutions to provide forecasting insights to business leaders at the most senior levels throughout the company. We are looking for a talented, driven, and analytical researcher to help us answer these (and many more) questions.We are building a new team to develop predictive models and provide business insights on seller behavior on the Amazon Consumer platform. We will build models to produce forecasts of unit sales and revenue by seller segments and drive adoption of these forecasts by various teams within Amazon for financial and operations planning. We will provide insights on the impact of seller selection, product selection and fees on the long-term growth of the business, and provide recommendations to drive future growth of the seller platform.This Data Scientist role will design quantitative systems and forecasting models that generate multi-billion dollar predictions of the highest level of visibility and importance for Amazon's financial and operational planning. A successful candidate will be a problem solver who enjoys diving into data, is excited by difficult modeling challenges, and possesses strong communication skills to effectively interface between technical and business teams. As a Data Scientist on this team, you will collaborate directly with economists and statisticians to produce modeling solutions, you will partner with software developers and data engineers to build end-to-end data pipelines and production code, and you will have exposure to senior leadership as we communicate results and provide scientific guidance to the business.Key Responsibilities Implement statistical methods to solve specific business problems utilizing code (Python, R, Scala, etc.). Improve upon existing methodologies by developing new data sources, testing model enhancements, and fine-tuning model parameters. Directly contribute to the design and development of automated forecasting systems. Build customer-facing reporting tools to provide insights and metrics which track forecast performance and explain variance. Collaborate with researchers, software developers, and business leaders to define product requirements, provide analytical support, and communicate feedback. Presenting critical data in a format that is immediately useful to answer questions about the inputs and outputs of Forecasting systems and improving their performance.Amazon is an Equal Opportunity Employer – Minority / Female / Disability / Veteran / Gender Identity / Sexual Orientation.Basic Qualifications MS in a quantitative discipline such as Statistics, Mathematics, Physics, Engineering, Computer Science or Economics. 2+ years work experience in an analytical role involving data extraction, analysis, and communication. Proficiency in at least one statistical software package such as R, Stata, Matlab, or Python. Experience with object-oriented programming languages. Expertise using SQL for acquiring and transforming data. Outstanding quantitative modeling and statistical analysis skills. Excellent verbal and written communication skills with the ability to effectively advocate technical solutions to research scientists, engineering teams and business audiences.Preferred Qualifications 4+ years of work experience in an analytical role involving data extraction, analysis, and communication. Experience building complex data visualizations. Experience working in command-line Linux environments. Experience with causal inference, applied time series modeling or machine learning forecasting applications. Strong project management skills.Company - Amazon.com Services, Inc.Job ID: A998947"
315,Senior Data Scientist,Amazon,"Seattle, WA, US",Be among the first 25 applicants,"DescriptionGlobal Talent Management (GTM) is centrally responsible for creating and evolving Amazon’s human capital and talent programs and processes.People Science Team within GTM is a growing start-up team with direct impact on Amazonians across all of our businesses and locations around the world. We play a crucial role in ensuring top notch data products and insights facilitate our growth and development of talent in intelligent and curious ways. We regularly use data to pitch ideas and drive conversations with Amazon’s Senior Vice President of HR and other executives about how to improve existing talent programs to solve organizational problems focused on (but not limited to) talent differentiation, talent movement, employee-role matching, product integration, promotion practices, organization design and succession planning, and diversity and inclusion, or invent new ones that address the evolving needs of our diverse employee base.We are looking for a seasoned Senior Data Scientist to help shape analytics and research roadmap and enable data-driven innovation that fuel our rapidly scaling talent management mission.You will partner closely with product and program owners, as well as scientists and engineers from other disciplines (e.g. economics, statistics, business intelligence, data engineering) with a clear path to business impact. You develop innovative and even frighteningly bold plans and ideas to discover new ways to advance our goals. You will be expected to be a thought leader as we chart new courses with our rapidly growing employee populations, and lead the way in experimenting new ideas that have not yet been explored.Successful candidates will have a deep knowledge of computing statistical and machine learning methods for large scale prediction problems -or- a deep knowledge of computational optimization methods and mathematical modelling, the ability to map models into production-worthy code, the communication skills necessary to explain complex technical approaches to a variety of stakeholders and customers, and the excitement to take iterative approaches to tackle big, long term problems.Key Responsibilities Participate in scoping and planning of GTM’s data science roadmap Uncover drivers, impacts, and key influences on talent outcomes Develop predictive and optimization models for key applications Navigate a variety of data sources, such as enterprise data, customize surveys, focus groups, and/or external data sources Ability to distill informal customer requirements into problem definitions, dealing with ambiguity and competing objectives Work in expert cross-functional teams delivering on demanding projects Functionally decompose complex problems into simple, straight-forward solutionsBasic Qualifications Advanced degree from Artificial Intelligence, Computer Science, Statistics, Math, Operations Research, Finance or other quantitative fields Five or more years of applying statistical algorithms and models to solving applied problems Experience in analyzing large scale of data Proficiency in one of the following: Python, R, SPSS, SAS, Stata, Matlab Proficiency in SQL data extraction Comfortable mining unstructured data, with the ability to transform data into a usable state using appropriate tools and techniques Demonstrated ability to work effectively in a collaborative environment Ability to communicate complex quantitative analysis in a clear, precise, and actionable manner High levels of integrity and discretion in handling confidential informationPreferred Qualifications PhD from above-mentioned quant field Seven or more years of industry experience Track record of innovation and strategic impact across teams Executive-facing verbal and written communication and data presentation skills Project Management experience Advanced SQL, data modeling, data mining (SQL, ETL, data warehousing) Experience with HR Management (HCM) technology such as PeopleSoft, SAP or Oracle HCM Proven ability to influence change strategies with dataAmazon is an Equal Opportunity Employer – Minority / Women / Disability / Veteran / Gender Identity / Sexual Orientation / Age.Company - Amazon.com Services, Inc.Job ID: A905222"
316,Data Engineer,Amazon,"Seattle, WA, US",Be among the first 25 applicants,"DescriptionThe Amazon Devices organization designs, produces and markets Kindle e-readers, Fire Tablets, Fire TV Streaming Media Players and Echo Speakers, and is constantly looking to innovate on behalf of customers with new devices in existing or new categories or improving the customer experience on existing platforms. The Devices Analytics team provides customer engagement support to the broader organization for Kindle, Fire, and Echo products – established and emerging countries, worldwide.We are looking for an innovative, hands-on and customer-obsessed Data Engineer who can be a strategic partner to the product managers and engineers on the team.Our projects span multiple organizations and require coordination of experimentation, economic and causal analysis, forecasting, and predictive machine learning tools. You will act as the business-facing subject matter expert for data storage, feature instrumentation, and data privacy, with the responsibility of managing end-to-end execution and delivery across projects.In this role, you will be a technical expert with massive impact. You work tightly with the research scientist and business intelligence engineers on our team to create the data infrastructure and pipelines to drive our machine learning projects from initial experimentation to production level deployment. Your work will directly impact the success of Amazon's growing Devices business. You will work across diverse science/engineering/business teams. You will work on critical data engineering problems, building unique high quality reliable, accurate, consistent, and architecturally sound data sets that are aligned with our business needs.Key Performance Areas Design, implement and support an analytical data infrastructure Managing AWS resources including EC2, EMR, S3, Glue, Redshift, etc. Interface with other technology teams to extract, transform, and load data from a wide variety of data sources using SQL and AWS big data technologies Explore and learn the latest AWS technologies to provide new capabilities and increase efficiency Collaborate with Data Scientists and Business Intelligence Engineers (BIEs) to recognize and help adopt best practices in reporting and analysis: data integrity, test design, analysis, validation, and documentation Help continually improve ongoing reporting and analysis processes, automating or simplifying self-service support for customersBasic Qualifications 3+ years of industry experience in software development, data engineering, business intelligence, data science, or related field Data modeling, ETL development, and data warehousing experience Experience using big data technologies such as Spark, Hive, Redshift, or S3. Experience in one or more of: Python, R, Bash, or other scripting language Experience manipulating, processing, and extracting value from datasets Knowledge of data management fundamentals and data storage principlesPreferred Qualifications Masters in computer science, mathematics, statistics, economics, or other quantitative fields. Experience working with AWS big data technologies (Redshift, S3, EMR) Demonstrated strength in data modeling, ETL development, and data warehousing Proven success in communicating with users, other technical teams, and senior management to collect requirements, describe data modeling decisions and data engineering strategy Experience providing technical leadership and mentoring other engineers for best practices on data engineering Familiarity with statistical models and data mining algorithms Knowledge of software engineering best practices across the development lifecycle, including agile methodologies, coding standards, code reviews, source management, build processes, testing, and operationsAmazon is an Equal Opportunity Employer – Minority / Women / Disability / Veteran / Gender Identity / Sexual Orientation / AgeCompany - Amazon.com Services, Inc.Job ID: A870882"
317,Data Engineer,Amazon,"Seattle, WA, US",Be among the first 25 applicants,"DescriptionThe Seller Onboarding and Success team is looking for a passionate data engineer to help build and test production customer and sales-facing ML-powered systems. Our products delight and help our sellers launch and optimally grow their business on Amazon through contextual business recommendations and education.Major responsibilities Data modeling to support machine learning model training and offline, batch workflows. Build data pipelines to feed machine learning models for real-time and offline use cases. Work closely with machine learning and data scientists to scale model training and explore new data sources and model features. Managing AWS resources including EC2, EMR, S3, Redshift, etc. Explore and learn the latest AWS technologies to provide new capabilities and increase efficiency Design, implement and support an analytical data infrastructure providing ad-hoc access to large datasets and computing powerBasic Qualifications Bachelor's degree in computer science, engineering, mathematics, or a related technical discipline 4+ years of industry experience in software development, data engineering, business intelligence, data science, or related field with a track record of manipulating, processing, and extracting value from large datasets Experience using big data technologies (Hadoop, Hive, Hbase, Spark, EMR, etc.) Knowledge of data management fundamentals and data storage principles Knowledge of distributed systems as it pertains to data storage and computingPreferred Qualifications 5+ years of experience as a Data Engineer, BI Engineer, Business/Financial Analyst or Systems Analyst in a company with large, complex data sources. Experience building/operating highly available, distributed systems of data extraction, ingestion, and processing of large data sets Experience working with AWS big data technologies (EMR, Redshift, S3, Glue, Kinesis and Lambda for serverless ETL) Demonstrated strength in data modeling, ETL development, and data warehousing Proven success in communicating with users, other technical teams, and senior management to collect requirements, describe data modeling decisions and data engineering strategy Experience providing technical leadership and mentoring other engineers for best practices on data engineering Knowledge of software engineering best practices across the development lifecycle, including agile methodologies, coding standards, code reviews, source management, build processes, testing, and operationsAmazon is an Equal Opportunity-Affirmative Action Employer – Minority / Female / Disability / Veteran / Gender Identity / Sexual OrientationCompany - Amazon.com Services, Inc.Job ID: A1023836"
318,Data Scientist,Amazon,"Seattle, WA, US",Be among the first 25 applicants,"DescriptionA fulfillment center can appear to be a chaotic place. With millions of items moving in and out of an area twice as large as your average theme park every day, a quick peek under the roof would reveal a manic scene. You would see associates, machinery, vehicles, robots, and packages flying about at break-neck speeds and accessing a breathtaking number of shelves and bins that store products. In reality, however, this activity is all highly organized and orchestrated by software, with each movement carefully planned and optimized. However, there are times when mistakes occur: products may disappear, reappear in strange places, become damaged, or worse. When that happens, how does a fulfillment center operating at that size, speed, and scale recover gracefully and with minimal cost? How do we ensure that we meet our commitments to our customers and merchants? How do we find a needle in a haystack when we’re constantly shuffling the haystack around? And how do we do it at extreme scale in an environment of constant growth?That’s where we come in, the AFT Inventory Entropy Management team. Our goal is to prevent entropy in a system in which there are billions of transactions driven by human and robotic input across hundreds of millions of items every year. We must ensure that the virtual and physical state of the world is aligned inside hundreds of Amazon’s fulfillment centers globally. When our job is done well mistakes are corrected quickly, and products are always ready to sell and ship.We operate at a nexus of machine learning, computer vision, robotics, and healthy measure of hard-earned expertise in operations to build automated, algorithmic approaches to solving these problems at minimal cost. We create cutting edge software, building automated processes and workflows in the most complex operational problem space in the business world. So what should you expect from this role?Major responsibilities: As a Data Scientist you will be working in one of the world's largest and most complex data analytics environments. You should have deep expertise in analyzing huge data sets from multiple domains. You should be expert at designing and implementing solutions that use a range of data science methodologies to automate data analysis or to solve complex business problems. You will design metrics for complex systems. You will deep dive ML training data and feature sets to drive improvements. You will partner with Research and Applied Scientists, SDEs, Technical Program Managers, Product Managers, and business leaders to identify solutions to large problems in Amazon Operations.Your analysis and solution recommendations will drive system optimizations with global impact. You will develop metrics to quantify the benefits of a solution and influence project resources. You will audit metric data and use it to measure system impact and performance.You will harness massive and diverse data sets to mine actionable insights for senior leaders. You will automate data feeds, validate the data input and analyze trends that lead to cost saving initiatives. In this role, you will own solving problems through deep data review, statistical analyses, and creation of analytic tools usable by others on the team. Your work products will guide our reporting, benchmarking, program optimization, financial planning, and execution strategy.The ideal candidate is a motivated self-starter who can thrive in a fast paced environment. They will enjoy working in a multidisciplinary team of engineers, scientists and business leaders. They will seek to understand processes behind data so their recommendations are grounded.Basic Qualifications Ability to present technical results to less technical audience including written narratives. Bachelor's degree in Statistics, Applied Math, Operations Research, Economics, or a related quantitative field with 5 years of working experience in the Data Science Field Proficient with data analysis and modeling software such as Spark, R etc. Proficient with using scripting language such as Python and data manipulation/analysis libraries such as Scikit-learn and Pandas for analyzing and modeling data. Experienced in using multiple data science methodologies to solve complex business problems. Experienced in handling large data sets using SQL and databases in a business environment.Preferred Qualifications Graduate degree in a quantitative field. 1+ years of experience in using a modern programming language (e.g. Java/C) to process data for modelling Experience processing, filtering, and presenting large quantities (Millions of rows) of data Experience working on large scale data transformation using AWS technologies, such as S3 and Redshift Experience with advanced statistical methods (e.g., fixed effects, predictive modeling, cluster analysis, time series modeling) Experience deriving business insights from the I/O of machine learning systemsAmazon is an Equal Opportunity Employer – Minority / Women / Disability / Veteran / Gender Identity / Sexual Orientation / Age.Company - Amazon.com Services, Inc.Job ID: A871628"
319,Data Engineer,Amazon,"Seattle, WA, US",Be among the first 25 applicants,"DescriptionAre you interested in innovating to deliver a world-class level of service to Amazon’s Vendors and Selling Partners?We are looking for a talented data engineer to help build/enhance the global communications platform between millions of Customers and third-party Sellers. You will own many large datasets, implement new data pipelines that feed into or from critical data systems at Amazon, and your insights will impact millions of Customers, Vendors and Sellers who communicate with each other for mission-critical use cases every day.As a Data Engineer, you will develop new data engineering patterns that leverage new cloud architectures, and will extend or migrate existing data pipelines to the architectures as needed. You will also be assisting with integrating the Redshift platform as our primary processing platform to create the curated Amazon.com data model for the enterprise to leverage.You will be responsible for designing and implementing the complex ETL pipelines in data warehouse platform and other BI solutions to support the rapidly growing and dynamic business demand for data, and use it to deliver the data as service which will have an immediate influence on day-to-day decision making at Amazon.comBasic QualificationsBASIC QUALIFICATIONS Bachelor's degree in computer science, engineering, mathematics, or a related technical discipline 4+ years of industry experience in software development, data engineering, business intelligence, data science, or related field with a track record of manipulating, processing, and extracting value from large datasets Experience using big data technologies (Hadoop, Hive, Hbase, Spark, EMR, etc.) Experience using business intelligence reporting tools (Tableau, Business Objects, Cognos, etc.) Knowledge of data management fundamentals and data storage principles A desire to work in a collaborative, intellectually curious environment.Preferred QualificationsPREFERRED QUALIFICATIONS 5+ years of industry experience as a Data Engineer or related specialty (e.g., Software Engineer, Business Intelligence Engineer, Data Scientist) with a track record of manipulating, processing, and extracting value from large datasets. Knowledge of software engineering best practices across the development lifecycle, including agile methodologies, coding standards, code reviews, source management, build processes, testing, and operations Coding proficiency in at least one modern programming language (Python, Ruby, Java, etc) Experience building/operating highly available, distributed systems of data extraction, ingestion, and processing of large data sets Experience building data products incrementally and integrating and managing datasets from multiple sources Query performance tuning skills using Unix profiling tools and SQL Experience leading large-scale data warehousing and analytics projects, including using AWS technologies – Redshift, S3, EC2, Data-pipeline and other big data technologies Experience providing technical leadership and mentor other engineers for the best practices on the data engineering space Linux/UNIX including to process large data sets. Experience with AWS, cloud computingAmazon.com is an Equal Opportunity-Affirmative Action Employer – Minority / Female / Disability / Veteran / Gender Identity / Sexual Orientation.Company - Amazon.com Services, Inc.Job ID: A1019112"
320,Data Engineer,Amazon,"Seattle, WA, US",Be among the first 25 applicants,"DescriptionThe Accelerator team is looking for a Data Engineer. In this role, you will drive the development of data engineering solutions from initial experimentation to production level deployment, including the followings. Identify gaps and improvement opportunities in existing data infrastructure. Design, implement, and maintain a cutting-edge cloud-based data-infrastructure for large data-sets. Migrate existing data pipelines to your newly developed solutions. Create and manage large datasets by extracting, transforming, combining, and loading data from various heterogeneous data sources. Maintain data integrity, availability, and auditability. Manage AWS resources. Drive the adoption of new technologies and new best practices.The successful candidate will combine strong technical abilities and leadership skills to deliver business value in a fast-paced, collaborative development environment. You will be self-driven, communicate and collaborate effectively with different technical and non-technical stake-holders, mentor junior colleagues, propagate best practices, drive innovation, and deliver successfully against high operational standards.The Team: The Amazon Accelerator program is designed to enable established manufacturers to rapidly launch their products on Amazon. Accelerator participants create Amazon-exclusive brands that they own and manufacture their entire catalog of products under these brands. This program is in start -up mode and looking fora passionate software engineer to build the next generation of our innovative tools and technologies as we continue to scale the program.Our Culture and You: We love challenging problems and like to move fast in a growing and changing environment. We use data to guide our decisions and we always push the technology and process boundaries of what is feasible on behalf of our customers. The most successful members of our team are obsessed with helping our customers in creative ways, bring clarity to ambiguity through data driven experimentation, and think big to build solution extensible enough to handle existing and upcoming use cases.Basic QualificationsBASIC QUALIFICATIONS Bachelor's degree in computer science, engineering, mathematics, or a related technical discipline 4+ years of industry experience in software development, data engineering, business intelligence, data science, or related field with a track record of manipulating, processing, and extracting value from large datasets Demonstrated strength in data modeling, ETL development, and data warehousing Experience using big data technologies Experience using business intelligence reporting tools Knowledge of data management fundamentals and data storage principles Knowledge of distributed systems as it pertains to data storage and computingPreferred QualificationsPREFERRED QUALIFICATIONS Experience working with AWS big data technologies Experience with open source data architectures such as Airflow, Hadoop/Spark, Re:dash, Superset. Proven success in communicating with users, other technical teams, and senior management to collect requirements, describe data modeling decisions and data engineering strategy Experience providing technical leadership and mentoring other engineers for best practices on data engineering Knowledge of software engineering best practices across the development lifecycle, including agile methodologies, coding standards, code reviews, source management, build processes, testing, and operations Masters or PhD in computer science, mathematics, statistics, economics, or other quantitative fieldAmazon.com is an Equal Opportunity Employer – Minority / Women / Disability / Veteran / Gender Identity / Sexual Orientation / Age.Company - Amazon.com Services, Inc.Job ID: A757316"
321,Sr. Data Scientist,Amazon,"Seattle, WA, US",Be among the first 25 applicants,"DescriptionCustomer Service Worldwide Defect Elimination (WWDE) is responsible for driving the elimination of customer experience defects across Amazon. One of the mechanisms we use to eliminate defects is the Andon Cord. In the last year WWDE has heavily invested in rebuilding the foundation of this mechanism and is now looking to expand the defect elimination impact of it by leveraging Machine Learning to detect customer experience defects. To this we are looking for a highly motivated, customer obsessed, and results driven Sr. Data Scientist. As a Sr. Data Scientist, you will help drive Amazon towards a defect free customer experience by detecting anomalies, identifying their root cause and enabling business teams to resolve the issues.In this role, you will apply modeling and machine learning techniques to develop scalable solutions and deliver insights that improve the customer experience across a worldwide market. You will partner with engineers, product managers, and other analytical leaders to drive business impact. Our environment is fast-paced and requires someone enthusiastic, flexible, detail-oriented, analytical, and comfortable working with multiple teams and managing competing priorities. This role has significant impact on the customer experience by directing customers’ feedback to Amazon’s leaders, who will drive action and ensure that negative experiences are eliminated.Key Responsibilities Develop ways to identify and deep-dive anomalous customer experiences, explain why they happen and identify potential solutions. Attribute features to identified anomalies in order to classify the root cause for business teams to action. Develop detection models using high-level modeling languages such as R and in software languages such as Python or Scala. Improve upon existing methodologies by developing new data sources, testing model enhancements, and fine-tuning model parameters. Translate business questions and concerns into quantitative questions that can be answered with data using sound methodologies. Create, enhance, and maintain technical documentation, and present to other scientists, engineers and business leaders. Drive best practices on the team; mentor and guide junior members to achieve their career growth potential.Basic Qualifications Master Degree in Statistics, Applied Mathematics, Operation Research, Economics or a related quantitative field. 4+ years of experience with data querying languages (e.g. SQL), scripting languages (e.g. Python), or statistical/mathematical software (e.g. R, Weka, SAS, Matlab). Familiarity with AWS data solutions such as S3 and Redshift Experience articulating business questions and using quantitative techniques to arrive at a solution using available data. Demonstrable track record of dealing well with ambiguity, prioritizing needs, and delivering results in a dynamic environment Excellent verbal and written communication skills with the ability to effectively advocate technical solutions to research scientists, engineering teams and business audiencesPreferred Qualifications PhD in Statistics, Applied Mathematics, Operation Research, Economics or a related quantitative field. Expert in the areas of data science, machine learning, and statistics. Depth and breadth in quantitative knowledge. Excellent quantitative modeling, statistical analysis skills and problem-solving skills. Sophisticated user of statistical tools. Experience processing, filtering, and presenting large quantities (multiple terabytes) of data Combination of deep technical skills and business savvy in order to interface with all levels and disciplines within our organization. Ability to develop experimental and analytic plans for data modeling processes, use of strong baselines, ability to accurately determine cause and effect relations. Experience in a customer experience role is a plus.Company - Amazon.com Services, Inc.Job ID: A973719"
322,Data Engineer,Amazon,"Seattle, WA, US",Be among the first 25 applicants,"DescriptionDo you want to build the premium shopping experiences for millions of Amazon customers? Do you want to work on performance challenges for providing the best recommendations in less than 200 milliseconds, given millions of customers and millions of products? Are you interested in working on Machine Learning and data science, believing every customer should not have the same experience? Amazon has a role or you.As an Amazon.com Data Engineer you will be working in one of the world's largest and most complex data warehouse environments. You should be an expert in the architecture of DW solutions for the Enterprise using multiple technologies (RDBMS, Columnar, Cloud). You should excel in the design, creation, management, and business use of extremely large datasets. You should have excellent business and communication skills to be able to work with business owners to develop and define key business questions, and to build data sets that answer those questions. Above all you should be passionate about working with huge data sets and someone who loves to bring datasets together to answer business questions and drive change.Basic Qualifications Degree in Computer Science, Engineering, Mathematics, or a related field or 5+ years industry experience Data modeling and ETL development experience Data Warehousing Experience with Oracle, Redshift, Teradata, etc. Experience with Big Data Technologies (Hadoop, Hive, Hbase, Pig, Spark, etc.) Experience in functional programming languages (Scala, Python, Perl, etc.)Preferred Qualifications Industry experience as a Data Engineer or related specialty (e.g., Software Engineer, Business Intelligence Engineer, Data Scientist) with a track record of manipulating, processing, and extracting value from large datasets. Experience building/operating highly available, distributed systems of data extraction, ingestion, and processing of large data sets Experience building data products incrementally and integrating and managing datasets from multiple sources Query performance tuning skills using Unix profiling tools and SQL Experience leading large-scale data warehousing and analytics projects, including using AWS technologies – Redshift, S3, EC2, Data-pipeline and other big data technologies Experience providing technical leadership and mentor other engineers for the best practices on the data engineering space Linux/UNIX including to process large data sets. Some experience leveraging SAS, R or matlab to manipulate data and set up automated processes as per business requirement Strong ability to interact, communicate, present and influence within multiple levels of the organization Excellent communication skills to be able to work with business owners to develop and define key business questions and to build data sets that answer those questions A desire to work in a collaborative, intellectually curious environment.Amazon is an Equal Opportunity-Affirmative Action Employer – Minority / Female / Disability / Veteran / Gender Identity / Sexual Orientation / Age.Company - Amazon.com Services, Inc.Job ID: A897154"
