,Job_Title,Company,Location,Number_of_Applicants,Description
237,Data Science Manager,Harnham,San Francisco Bay Area,Be among the first 25 applicants,"DATA SCIENCE MANAGER $170,000 BASE + FULL BENEFITS + EQUITY SAN FRANCISCO       Are you looking to take ownership over a  healthcare  data science team that is about to go through a period of massive growth? Do you want C-suite access, and get to set direction and strategy for the team? Do you think data science should be integral to a company? Then apply here.   THE ROLE:     As a Data Science Manager, you will lead a business-critical data science team. You will meet with stakeholders to set strategy for the future of data science within the company. You will oversee operational and R&D initiatives. You will grow out the team and mentor the data scientists under you and work hands on to help the company grow.     YOUR SKILLS AND EXPERIENCE:     The successful Data Science Manager will have the following skills and experience:     ·M.S or Ph.D. in a quantitative discipline  ·Although academic experience is import, we are looking for those   candidates who have industry experience post academia  ·Experience leading and mentoring data scientist  ·Strong experience developing and implementing ML and/or NLP   algorithms  ·Proven communicator with technical teams, clients and senior     stakeholders     THE BENEFITS:     A competitive base salary of $170,000 + full benefits + equity     HOW TO APPLY:     Please register your interest by sending your CV to Alan Herrera via the apply link on this page."
238,Data Science Manager,Harnham,"Santa Clara, CA, US",Be among the first 25 applicants,"The CompanyAs a Principal Data Scientist, you will be an integral part of leading data science at a company working on fintech and customer engagement.The RoleAs a Principal Data Scientist, you can expect work on high level forecasting models, driving customer engagement and retention with churn models. You will be working on the cutting edge and changing how users interact with the company and its product.In specific, you can expect to be involved in the following:Building forecasting and churn modelsStay up to date on research and apply itRoadmap creationModel EvaluationYour Skills And ExperienceThe successful Principal Data Scientist will have the following skills and experience:Forcasting experienceDeep Learning ExperienceStrong CommunicationSQLPython or R"
239,Director of Data Science,Harnham,"San Francisco, CA, US",Be among the first 25 applicants,"DIRECTOR OF DATA SCIENCE$160,000/yr - $200,000 + EQUITYSAN FRANCISCO BAY AREA, CALIFORNIA, UNITED STATESAre you looking to join an exciting and promising pre-seed start-up that is already garnering extensive investment interest? Harnham is working with a disruptive company that is leaning on cutting-edge machine learning and AI as they look to scale an already popular app-based product. This app has seen remarkable monthly growth, unprecedented 90-day retention rates, and an engagement score crushing the industry average. This company is looking for an experienced Director of Data Science, as they have already partnered with over 100 top brands and retailers and received millions in pre-seed investment.The CompanyAs Director of Data Science, you will be an early member of a company with a bright future. With Series-A funding on the horizon and already backed by Fortune-100 partners, as well as City administrations around the country, they are looking for a proven executive to guide them through rapid early-stage growth. With their success relying heavily on machine learning, the company is putting an emphasis on technical expertise and direction. The Director of Data Science will play a crucial role in the research, development, scaling, and growth of their AI product.The RoleThe Head of Data Science will regularly work with executives and stakeholders to implement strategy, influence technical direction, and ultimately deliver significant impact through cutting-edge data science leadership. They will also remain close to the trenches, proving hands-on machine learning expertise and mentorship to research and production-level teams. You will:Oversee and mentor a dynamic team that works to research, design, develop, implement, and optimise machine learningAct as subject-matter expert in AI, search, recommendation, ad-tech, monetization, and machine learning productionCommunicate with stakeholders and leadership to ensure positive contribution to the bottom linePlay an important role in developing and delivering machine learning vision and goalsYour Skills And ExperienceThe successful Head of Data Science will have the following skills and experience:Advanced education in computer science, mathematics, or engineeringImpactful experience and expertise with production-level machine learning is criticalProven ability to build and lead teams, drive strategy, and deliver resultsFull-time, end-to-end professional hands-on experience developing and machine learning modelsStrong engineering and technical background/capabilitiesPassion for leading, managing, building teams, and pushing the frontier with cutting-edge AIBusiness acumen and exceptional communication skills are crucial in a fast-paced start-up environmentTools: Python, C++, Spark, Hadoop, Cloud Computing, Tensorflow, Keras, PyTorchThe BenefitsThe successful Head of Data Science will receive a salary, dependent on experience, between $160,000 - $200,000. A significant portion of compensation will be comprised of equity, as you will be an early member of a pre-seed venture that is garnering interest from top backers and investment firms.How To ApplyPlease register your interest by sending your CV to Brendan McMahon via the Apply link on this page."
240,Senior Data Scientist,Intuit,"Mountain View, CA, US",Be among the first 25 applicants,"OverviewCome join Intuit as a senior data scientist in the Small Business and Self-Employed Group (SBSEG) Data Science & Analytics team. We are looking for creative problem solvers with a passion to deliver data-driven insights. This position leads a team of talented analysts and scientists to work alongside with business stakeholders to deliver customer insights and recommendations.Responsibilities Join a team of talented analysts and scientists with a focus on customer acquisition, retention and end-to-end customer experiences.  Partner with business leaders (e.g. marketing, product and customer success) to define business strategies, areas of investment, and critical priorities.  Translate business and analytics strategies into multiple short-term and long-term projects, and manage end-to-end execution.  Deliver analytics insights that lead to decisions or better hypotheses, and evangelizes innovative analytics ideas that enable new opportunities.  Drive analytics rigor by inspecting and experimenting methodologies, improving techniques, and creating a learning culture.  Roles-model “win-together” while challenging status quo and driving changes across teams regardless of organizational structure. 5+ years of diverse analytics experience on end-to-end customer-level data across marketing and product  Strong passion in uncovering strategic opportunities and solving business problems  Proficient with SQL and knowledgeable of statistical methods  Experience in data gap assessments, requirements and infrastructure implementation  Outstanding communications skills with both technical and non-technical colleagues  Undergraduate degree a must. Masters in a quantitative discipline preferred Imagine a career where your creative inspiration can fuel BIG innovation. Year-over-year, Intuit has been recognized as a best employer and is consistently ranked on Fortune’s “100 Best Companies To Work For” and Fortune World’s “Most Admired Software Companies” lists. Immerse yourself in our award winning culture while creating breakthrough solutions that simplify the lives of consumers and small businesses and their customers worldwide.Intuit is expanding its social, mobile, and global footprint with a full suite of products and services that are revolutionizing the industry. Utilizing design for delight and lean startup methodologies, our entrepreneurial employees have brought more than 250 innovations to market – from QuickBooks® and TurboTax®, to GoPayment, Mint.com, big data, cloud (SaaS, PaaS) and mobile apps. The breadth and depth of these customer-driven innovations mean limitless opportunities for you to turn your ingenious ideas into reality at Intuit.Discover what it’s like to be part of a team that rewards taking risks and trying new things. It’s time to love what you do! Check out all of our career opportunities at: careers.intuit.com . EOE AA M/F/Vet/Disability Qualifications 5+ years of diverse analytics experience on end-to-end customer-level data across marketing and product  Strong passion in uncovering strategic opportunities and solving business problems  Proficient with SQL and knowledgeable of statistical methods  Experience in data gap assessments, requirements and infrastructure implementation  Outstanding communications skills with both technical and non-technical colleagues  Undergraduate degree a must. Masters in a quantitative discipline preferred Imagine a career where your creative inspiration can fuel BIG innovation. Year-over-year, Intuit has been recognized as a best employer and is consistently ranked on Fortune’s “100 Best Companies To Work For” and Fortune World’s “Most Admired Software Companies” lists. Immerse yourself in our award winning culture while creating breakthrough solutions that simplify the lives of consumers and small businesses and their customers worldwide.Intuit is expanding its social, mobile, and global footprint with a full suite of products and services that are revolutionizing the industry. Utilizing design for delight and lean startup methodologies, our entrepreneurial employees have brought more than 250 innovations to market – from QuickBooks® and TurboTax®, to GoPayment, Mint.com, big data, cloud (SaaS, PaaS) and mobile apps. The breadth and depth of these customer-driven innovations mean limitless opportunities for you to turn your ingenious ideas into reality at Intuit.Discover what it’s like to be part of a team that rewards taking risks and trying new things. It’s time to love what you do! Check out all of our career opportunities at: careers.intuit.com . EOE AA M/F/Vet/Disability"
241,"Product Analyst, Data Science",Google,"Mountain View, CA, US",157 applicants,"Note: By applying to this position your application is automatically submitted to the following locations: Mountain View, CA, USA; San Bruno, CA, USA; New York, NY, USAMinimum Qualifications BA/BS degree or equivalent practical experience. 3 years of experience working with statistical packages (e.g. R, SAS, Stata, MATLAB, etc.). Experience articulating product questions, pulling data from datasets (SQL) and using statistics to arrive at an answer. Preferred Qualifications BA/BS or Master's degree in a quantitative field such as; Statistics, Computer Science, Engineering, Mathematics, Data Sciences. Experience in scripting with SQL, extracting large sets of data, and design of ETL flows. Experience in an inter-disciplinary/cross-functional field. Interest and aptitude in data, metrics, analysis and trends and applied knowledge of measurement, statistics and program evaluation. Ability to translate analysis results into business recommendations, and excellent written and verbal communication skills. Distinctive problem solving skills and impeccable business judgment. About The JobProduct Analysts provide quantitative analysis, market expertise and a strategic perspective to our partners throughout the organization. As a data-loving member of the team, you'll serve as an analytics expert for your partners, using numbers to help them make better decisions. You will weave stories with meaningful insight from data. You'll make key recommendations for your fellow Googlers in Engineering and Product Management.As a Product Analyst, you relish tallying up the numbers one minute and communicating your findings to a team leader the next. You can see different angles of a product or business opportunity, and you know how to connect the dots and interact with people in various roles and functions. You will work to effectively turn business questions into data analysis, and provide meaningful recommendations on strategy.Responsibilities Conduct data analysis to make business recommendations (e.g. cost-benefit, invest-divest, forecasting, impact analysis). Deliver effective presentations of findings and recommendations to multiple levels of stakeholders, creating visual displays of quantitative information. Develop and automate reports, iteratively build and prototype dashboards to provide insights at scale, solving for business priorities. Collaborate with cross-functional stakeholders to formulate and complete full cycle analysis that includes data gathering, analysis, ongoing scaled deliverables and presentations. Help Google to focus on key decisions to improve products and services. At Google, we don’t just accept difference—we celebrate it, we support it, and we thrive on it for the benefit of our employees, our products and our community. Google is proud to be an equal opportunity workplace and is an affirmative action employer. We are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity or Veteran status. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. See also Google's EEO Policy and EEO is the Law. If you have a disability or special need that requires accommodation, please let us know by completing this form ."
242,Sr. Staff Machine Learning Applied Engineer - Revenue Science,Twitter,"Los Angeles, CA, US",Be among the first 25 applicants,"Who We AreIn Twitter, we serve billions of ad impressions and generate millions of dollars in revenue per day. For every ad shown on Twitter, our distributed machine learning system evaluates, in real-time, millions of ad candidates behind the scenes to find the best one. When executed successfully, we create aha! moments for our users & advertisers and add huge value to the Twitter business & revenue.We Care Deeply About Staying abreast of and leveraging recent advances in machine learning.  Maximizing ROI for businesses that advertise on Twitter  Maximizing the value that Twitter user’s get from ads they see on Twitter  Maximizing Twitter’s revenue Who You Are A machine learning software engineer with a passion for working on exciting algorithmic and deep infrastructure issues in ML environments.  You thrive on working in concert with other smart people, including from distributed offices.  You communicate fluidly, at the level of your audience, and seek to understand and being understood.  You have the ability to take on complex problems, learn quickly, iterate, and persist towards a good solution.  You take pride in polishing and supporting our products.  You work hand-in-hand with modeling engineers and data-scientists, and your passion is to enable them with better infrastructure. Responsibilities Work with large unstructured and structured data sets (multi-terabyte, 100MM+ daily transaction volumes) Review literature for the latest machine learning techniques Design experimental features, model architectures, and loss functions for improving the value extracted from each real-time ad auction on Twitter Qualifications Senior level experience and MS or PhD in computer science  Fluent in one or more object oriented languages like Java, Scala, C#, C++  Experience with Hadoop, Pig or other MapReduce-based architectures  Knowledgeable of core CS concepts such as: common data structures and algorithms  Comfortable conducting design and code reviews  Experienced in operating Linux-based systems  Passionate about working with large unstructured and structured data sets We are committed to an inclusive and diverse Twitter. Twitter is an equal opportunity employer. We do not discriminate based on race, color, ethnicity, ancestry, national origin, religion, sex, gender, gender identity, gender expression, sexual orientation, age, disability, veteran status, genetic information, marital status or any legally protected status.By applying for this role, you could choose to work in the following locations:SunnyvaleBostonNew York CitySeattleBoulderLos AngelesSan Francisco"
243,Data Science Manager,Agoda,"San Diego, CA, US",Be among the first 25 applicants,"Agoda is one of the world’s largest and fastest growing online travel agents. Coming from over 70+ countries, our 5,000-plus person team is young, energetic, and hyper-focused on every detail of the travel experience. Our parent company, Booking Holdings, owns several other premier travel brands, including Booking.com, Priceline.com, Kayak, and OpenTable.com, making us the largest and fastest growing travel portfolio in the world. But the group is focused on entrepreneurialism, and each brand operates independently, allowing us to experiment and move fast.We think of Data Science in Agoda differently. For us, a data scientist is a fusion of core production skills with analytic and business skills. We’ve brought top talents from (literally) all over the world who focus relentlessly on building products which utilize ML and AI as their main edge. We know that when you infuse ML and technology, you move from good to great and that is our mission. Our Data Science managers are action driven leaders that can form vivid vision and successfully direct their people to execute it while being strongly rooted in the details and practice.As a Data Science Manager, You WillDrive the growth of your team and build a diverse, entrepreneurial team. You are a developer of people. You love leading diverse teams of professionals with both qualitative and quantitative backgrounds using data-driven and insights-led approaches to respond quickly in a dynamic, competitive, and fast changing industry.Get your hands dirty. Tackle complex problems in the online travel and ecommerce space using a range of ML and data analysis methods. Use our huge data repositories to push our business metrics to their bounds, directly and indirectly. Foster a culture that constantly raises the bar for us and others and supports the freedom to explore and innovate.Work on tough problems. Can we detect causation between metrics and bookings? How can automatically answer our users’ questions? How do we tune our AB testing platform to ensure we aren’t optimizing noise? How do we measure experiment success to properly trade off type I and II errors? What is the ideal caching strategy for prices and how do build an ML model to implement it? How can you detect anomalies within more than one million time-series that we track daily? Can you separate between bots and human traffic? Can you make our across-data-centers replication into smart replication using ML models? These are just a few of the diverse questions we tackle and some which you will lead your team to crack. You will be impacting every aspect of the business and it will require various techniques, from diving deep into data with SQL and Big Data tools, all the way to deploying modern machine learning models.Deliver results. Work directly with the heads of the business departments and the product management team. Influence them with compelling product ideas based on data insights that can move the dial on our business.Work in one of Asia’s most vibrant cities. Bangkok provides a setting like no other: edgy, luxurious, impossibly sensorial, endlessly layered. The perfect junction of a globally minded career and the heart of Asian travel.What You’ll Get The Chance To Do Balance quantitative data analyses with qualitative user insights to uncover how our users book travel to drive new and existing product impact. Build, validate, test, and deploy machine learning or other data science models to predict and influence the behavior of consumers with the goal of optimizing products & processes. Test and validate insights via rapid experimentation and deployment. Interface with business/operation teams and key stakeholders at all levels to formulate solutions & product changes informed by your findings. Leverage data to help the business answer questions around further expansion, products, process optimization, cost optimization, customer acquisition/retention/churn and any other business goals that can be addressed through data insights. Form strong, cross-functional relationships with designers, product managers, software developers, and marketers who build, design, and optimize our technology and tools. What You Bring Vast analytical problem-solving capabilities & experience. Experience in leading a team of both researchers and analysts preferably in an ecommerce, tech, banking, advertising or management consulting environment. Statistical knowledge and extreme proficiency in SQL. Comfortable with R, Python and Tableau. Experience with big data technologies (Hadoop/Vertica) is a plus. Strong understanding and implementation experience of predictive modeling algorithms such as regressions, time series, neural networks, clustering, decision trees and heuristic models, with familiarity dealing with tradeoffs between model performance and business needs. Experience combining user research and data science methodologies across multiple products and teams. Experience with research applications pertaining to user experience, marketing, and market insights. Fantastic communication skills that enable you to work cross-functionally with product managers, tech geeks and design gurus, building solid relationships with a diverse set of stakeholders. The ability to convey complex solutions to a less technical person. Bias for action. Advanced degree (MSc/PhD) in Computer Science, Economics, Engineering, Operations Research, Physics or Mathematics/Statistics preferred. Agoda is a Booking Holdings (BKNG) company, the world’s leading provider of brands that help people book great experiences through technology.#sanfrancisco #sanjose #losangeles #sandiego #oakland #miami #orlanda #boston #seattle #newyork #telaviv #manchester #london #liverpool #york #dublin #sydney #melbourne #IT #4"
244,Data Science Manager,Agoda,"Oakland, CA, US",27 applicants,"Agoda is one of the world’s largest and fastest growing online travel agents. Coming from over 70+ countries, our 5,000-plus person team is young, energetic, and hyper-focused on every detail of the travel experience. Our parent company, Booking Holdings, owns several other premier travel brands, including Booking.com, Priceline.com, Kayak, and OpenTable.com, making us the largest and fastest growing travel portfolio in the world. But the group is focused on entrepreneurialism, and each brand operates independently, allowing us to experiment and move fast.We think of Data Science in Agoda differently. For us, a data scientist is a fusion of core production skills with analytic and business skills. We’ve brought top talents from (literally) all over the world who focus relentlessly on building products which utilize ML and AI as their main edge. We know that when you infuse ML and technology, you move from good to great and that is our mission. Our Data Science managers are action driven leaders that can form vivid vision and successfully direct their people to execute it while being strongly rooted in the details and practice.As a Data Science Manager, You WillDrive the growth of your team and build a diverse, entrepreneurial team. You are a developer of people. You love leading diverse teams of professionals with both qualitative and quantitative backgrounds using data-driven and insights-led approaches to respond quickly in a dynamic, competitive, and fast changing industry.Get your hands dirty. Tackle complex problems in the online travel and ecommerce space using a range of ML and data analysis methods. Use our huge data repositories to push our business metrics to their bounds, directly and indirectly. Foster a culture that constantly raises the bar for us and others and supports the freedom to explore and innovate.Work on tough problems. Can we detect causation between metrics and bookings? How can automatically answer our users’ questions? How do we tune our AB testing platform to ensure we aren’t optimizing noise? How do we measure experiment success to properly trade off type I and II errors? What is the ideal caching strategy for prices and how do build an ML model to implement it? How can you detect anomalies within more than one million time-series that we track daily? Can you separate between bots and human traffic? Can you make our across-data-centers replication into smart replication using ML models? These are just a few of the diverse questions we tackle and some which you will lead your team to crack. You will be impacting every aspect of the business and it will require various techniques, from diving deep into data with SQL and Big Data tools, all the way to deploying modern machine learning models.Deliver results. Work directly with the heads of the business departments and the product management team. Influence them with compelling product ideas based on data insights that can move the dial on our business.Work in one of Asia’s most vibrant cities. Bangkok provides a setting like no other: edgy, luxurious, impossibly sensorial, endlessly layered. The perfect junction of a globally minded career and the heart of Asian travel.What You’ll Get The Chance To Do Balance quantitative data analyses with qualitative user insights to uncover how our users book travel to drive new and existing product impact. Build, validate, test, and deploy machine learning or other data science models to predict and influence the behavior of consumers with the goal of optimizing products & processes. Test and validate insights via rapid experimentation and deployment. Interface with business/operation teams and key stakeholders at all levels to formulate solutions & product changes informed by your findings. Leverage data to help the business answer questions around further expansion, products, process optimization, cost optimization, customer acquisition/retention/churn and any other business goals that can be addressed through data insights. Form strong, cross-functional relationships with designers, product managers, software developers, and marketers who build, design, and optimize our technology and tools. What You Bring Vast analytical problem-solving capabilities & experience. Experience in leading a team of both researchers and analysts preferably in an ecommerce, tech, banking, advertising or management consulting environment. Statistical knowledge and extreme proficiency in SQL. Comfortable with R, Python and Tableau. Experience with big data technologies (Hadoop/Vertica) is a plus. Strong understanding and implementation experience of predictive modeling algorithms such as regressions, time series, neural networks, clustering, decision trees and heuristic models, with familiarity dealing with tradeoffs between model performance and business needs. Experience combining user research and data science methodologies across multiple products and teams. Experience with research applications pertaining to user experience, marketing, and market insights. Fantastic communication skills that enable you to work cross-functionally with product managers, tech geeks and design gurus, building solid relationships with a diverse set of stakeholders. The ability to convey complex solutions to a less technical person. Bias for action. Advanced degree (MSc/PhD) in Computer Science, Economics, Engineering, Operations Research, Physics or Mathematics/Statistics preferred. Agoda is a Booking Holdings (BKNG) company, the world’s leading provider of brands that help people book great experiences through technology.#sanfrancisco #sanjose #losangeles #sandiego #oakland #miami #orlanda #boston #seattle #newyork #telaviv #manchester #london #liverpool #york #dublin #sydney #melbourne #IT #4"
245,Data Science Director,Agoda,"San Jose, CA, US",45 applicants,"Agoda is one of the world’s largest and fastest growing online travel agents. Coming from over 70+ countries, our 5,000-plus person team is young, energetic, and hyper-focused on every detail of the travel experience. Our parent company, Booking Holdings, owns several other premier travel brands, including Booking.com, Priceline.com, Kayak, and OpenTable.com, making us the largest and fastest growing travel portfolio in the world. But the group is focused on entrepreneurialism, and each brand operates independently, allowing us to experiment and move fast.Our 25-strong Data Science team is already responsible for a big portion of our success, we deploy ML across the board. Our marketing automation is managing a budget of 100Ms$ with automated bidding, our recommendation and ranking engines give billions of predictions a day based on deep learning models running in production. Our NLP lab is perfecting the chat engine in order to reduce customer friction and there are many other examples, including fraud, pricing, experimentation, anomaly detection etc. All of this is running on our home-grown data platform, currently collecting 1.2 trillion data points every day.But we are still not satisfied…So far, we have been using Data Science to improve the product, but now it’s time for a revolution. We want to use data science in every aspect of the product, front or back, make it clear to the customer that we are giving them a superb experience from all aspects and empower the entirety of our tech team to utilize our data in real time.A vision like this requires leaders that can combine strategy, execution, communication and intelligence to materialize these ideas all the way to the customer; are you that person?As a Director Of Data Science, You WillManage and grow your DS team. Our team is mostly MSc and PhD graduates from top universities around the world, including Stanford, Harvard and others. Talent is the key to a success in data science and we need to make sure we keep our strong team engaged and motivated while growing it.Drive revolutionary initiatives. You will be responsible for the company future by making sure we are in front of the innovation curve. We will go into projects that have not been done before at our scale, this will require world-class data science but also the ability to communicate effectively with senior management and get them on board. Agoda is a well-tuned machine and any change is tested, making big steps requires careful planning to make sure we eventually follow the customer needs.Deliver results. As a leader of a data science team, you are responsible for our success across all products, sometimes that means understanding why some models aren’t working as expected, sometimes it’s about having the right people on the right projects and sometimes is some dependent system that we need to augment in order to achieve our goals. In any case, the responsibility and the ownership are on you to get the desired outcome.Build for the future. These are exciting days for data science and machine learning, new technology pops up every few days, from modeling to data processing to orchestration it’s clear that there’s currently no one “right way to do it”. Agoda has always been a very independent company, we want to control our fate and our technology so we almost never use “enterprise software” and rely mostly on open source that we can tweak and contribute back to. You’ll be contributing to our strategic technical roadmap for data science, thinking about problem like measuring model’s health, centralized feature stores, orchestrating model deployment and others.Work in one of Asia’s most vibrant cities. Bangkok provides a setting like no other: edgy, luxurious, impossibly sensorial, endlessly layered. The perfect junction of a globally minded career and the heart of Asian travel.What You’ll Get The Chance To Do Oversee the execution of DS related initiatives and projects from initiation to production and beyond Join in key discussion to facilitate a scientific approach in key decisions and raise new initiatives Interface with business and product units to help shape the future of the product and find the opportunities where DS can be helpful Drive a culture of science and ML in the company, help to educate and train our 1200 people tech team to utilize DS in every aspect of our products What You Bring Vast analytical problem-solving capabilities, and experience Experience in leading teams of data scientists and data engineers, preferably in an e-commerce, tech, advertising or management consulting environment Strong knowledge in Statistics, DS and ML practices and technologies, specifically in big data environments Strong understanding and implementation experience of predictive modeling algorithms such as regressions, time series, neural networks, clustering, decision trees and heuristic models, with familiarity dealing with tradeoffs between model performance and business needs Experienced with planning and managing ML projects in real time environments with incremental testing capabilities Fantastic communication skills that enable you to work cross-functionally with product managers, tech geeks and design gurus, building solid relationships with a diverse set of stakeholders The ability to convey complex solutions to a less technical person Bias for action Advanced degree (MSc/PhD) in Computer Science, Economics, Engineering, Operations Research, Physics, Mathematics, or Statistics is preferred #sanfrancisco #sanjose #losangeles #sandiego #oakland #miami #orlanda #boston #seattle #newyork #telaviv #manchester #london #liverpool #york #dublin #sydney #melbourne #IT #4 #5"
246,VP of Data Science & Analytics,Mozilla,"San Francisco, CA, US",Over 200 applicants,"In this exceptional leadership opportunity, the VP of Data Science & Analytics will define, build and grow a data strategy and team to deliver best-in-class capabilities that will support Mozilla’s ambitious growth goals.The individual will collaborate closely with the senior leadership team, providing technical vision, analytical support, and business intelligence to shape Mozilla’s roadmap for today’s and tomorrow’s internet ecosystem. In addition to planning for the future, the VP of Data Science and Analytics will enable swift and accurate reporting of technical and user metrics that inform critical product and strategy decisions, while ensuring adherence to Mozilla’s mission and operating principles. The position will require deep technical expertise coupled with an ability to lead and manage in a very dynamic environment.Mozilla is developing and implementing an organizational plan aligned to a company-wide transformation strategy. If you are looking to make an impact, this is a great opportunity to showcase your talents and skills to lead, contribute, and execute.As a Vice President, Data Sciences & Analytics, you are …A World Class Team-Builder Build a high performance, responsive team of data scientists, data engineers, and analysts that is able to harvest and synthesize data quickly and accurately Support an organizational effort toward better understanding user needs and pain points, and propose roles that data science can play to further this goal Develop an investment strategy to define, grow and maintain an exemplary data management organization A Visionary Leader In Applying Data And Data Science Ensure data best practices and play a critical role in building a data-driven culture throughout Mozilla; Be a thought leader and evangelist to drive adoption and knowledge at all levels of the organization Determine how to leverage data science, machine learning, and other analytical techniques to offer actionable insights both internally & externally Develop and implement strategies to support ongoing data management needs, such as governance, technology shifts, and regulatory compliance changes Define and drive the strategy for investments, working closely with key business analytics leaders, and executive management An Organizational Enabler Participate heavily with Mozilla’s executive team, help set business strategy, represent product data science, initiate and debate key strategic topics and opportunities from your team’s work, and drive bold high-impact decisions Collaborate with cross-functional partners in product, engineering, operations, finance, and marketing to define and build data-informed business strategy and roadmaps Partner with data engineering team, technology architects and software developers to empower our lines of businesses with robust business intelligence Provide timely turnarounds on data requests for “one-off” activities, such as acquisition, partnership analyses and new product initiatives Provide technical leadership where suitable to support colleagues throughout the Mozilla organization Implement a measurement and tracking system that enables departmental performance benchmarking Your Professional Profile  15+ years’ experience in algorithmic engineering, data science, machine learning 7+ years of experience in managing, and mentoring data science, data engineering, and analytics teams in a global technology company  Deep technical background with a MS or PhD in mathematics, statistics, computer science or a related field Experienced in a complex, cross-functional organization where your teams need to collaborate and integrate with other teams across many disciplines Passionate to innovate solutions, delight users, and inspire colleagues Commitment to values that align with Mozilla’s overarching mission and principles Strong strategic business acumen, change management, and continuous improvement champion Experience in data-oriented due diligence within the context of M&A transactions Strong interpersonal skills and ability to influence through creating fellowship Excellent written and verbal communication skills Success Factors You will likely be super happy and productive in this role if you… Have strong technical domain know-how to coach and grow the team Have a strong builder mentality, can bring order to chaos, and know how to effectively “bring people along” Bring positive influence on culture and value for Mozilla’s data practice Are able to effectively challenge the status quo and plan insightful roadmaps Mentor and coach team on career paths About MozillaMozilla exists to build the Internet as a public resource accessible to all because we believe that open and free is better than closed and controlled. When you work at Mozilla, you give yourself a chance to make a difference in the lives of Web users everywhere. And you give us a chance to make a difference in your life every single day. Join us to work on the Web as the platform and help create more opportunity and innovation for everyone online.We are an equal opportunity employer and value diversity. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.Group: A"
247,Data Science Manager,Scalable Commerce,"Goleta, CA, US",Be among the first 25 applicants,"You haven't heard of us. Scalable Commerce is a group of product development and marketing ninjas behind several successful online subscription services experienced by millions of consumers each month.We are looking for a full-time Data Science Manager. This is an excellent opportunity to become a key member of a rapidly growing development team. As a core member of our team, you would work directly with colleagues at all levels, including our most senior professionals and Partners, to drive the design and implementation of business transformation and growth initiatives.Primary ResponsibilitiesBuild and lead a high-performing team of data scientists and analystsDevelop analytical frameworks, quarterly roadmaps, and new metrics for the organizationAnalyze customer demographic and behavioral big data to derive and develop and optimize targeted segmentation strategies Promote analytics frameworks and sound decision making across the companyWork closely with the executive team to inform company strategyPartner with cross-functional team to identify and prioritize the most important projects.Lead data-driven problem solving by developing hypotheses to explain business problems or opportunities and create the detailed analytical work plans required to test themDevelop the approach and manage the execution of data gathering (e.g., developing data requests, remote accessing client databases)Serve as lead point of contact on all matters related to project and data management, addressing data quality issues, and reporting progressComplete detailed system data reviews including assessment of data structure and qualityComplete or oversee data cleaning, integration and transformation to support analytical effortsCollaborate with colleagues to develop new features that allow the team to more effectively test hypotheses or create more accurate statistical modelsUse reporting tools to create compelling data visualizations that generate new insights or reveal complex relationships between variablesUse modern tools and platforms to apply supervised and unsupervised learning to datasetsOperationalize working models by integrating them with data and systems through APIsDraw insights from quantitative and qualitative data, to inform assessments and recommendations to drive business resultsDevelop and present point of view on complex concepts through simple, plain spoken materials that support our recommendationsDrive deep and holistic understanding of our users, for example:What drives users engagement?What are the drivers of repeat visits?What is the optimal frequency and relevancy threshold for alerts?What is the LTV of a user across various channels?Which new features and products should we be working on?Generate a number of hypothesis and inform decision making for all these questions.Minimum RequirementsBachelor's degree in computer science, mathematics, engineering or related fieldAt least three years of experience working on an analytics/data science teamExperience developing teams to develop creative solutions to challenging data and business problemsAt least two years as a primary contact for data and project related communicationPassion for learning; track record of keeping up to date on analytical technologies, platforms, and tools2+ years of experience with SQL or other programming languagesExperience in initiating and driving projects to completion with minimal guidanceExperience in communicating the results of analysisTools & TechnologiesProduction databases (e.g., SQL, SQL Server) and related administrative tools (e.g., SQL Management Studio)Python (preferable) or RBusiness Intelligence tools (e.g., Power BI, Tableau)Experience operationalizing ML algorithms in production environmentWorking knowledge of AWS (e.g., Redshift) or Azure working with databases in the cloudExposure to the D3 JavaScript libraryProject ManagementCreating and managing the execution of a clear project plan ensuring appropriate project cadence, timeline and resourcing, and surfacing project execution risks as neededLeading and managing the execution of all research, data gathering, and analyticsDeveloping and testing hypotheses to generate insights and provide actionable business intelligence - leveraging critical thinking capabilities, business acumen, and industry and/or technical expertiseCompensationKey members of our team are paid really well; however, what you can achieve with us will depend entirely on your experience and your ability and desire to become an indispensable part of our team.About Scalable CommerceScalable Commerce, LLC is a provider of e-commerce and marketing services. We focus our efforts on products and services that are marketed directly to the consumer. We develop and distribute our own consumer products in a variety of online marketing channels including paid search, contextual, display, affiliate, email and partnerships with leading websites. Our marketing expertise is complimented by our e-Commerce Platform which provides the backbone to everything we do. We are dedicated to creating excellence in every area of our business, focusing on the things that matter most â€” our customers, our partners, our affiliates and our people. Our mission is to provide customers with valuable products they can count on every day. For our partners and affiliates, we have a solid track record having built several successful businesses. For our people, we promote a collaborative environment that values hard work, creativity, intelligence and initiative."
